1729519069218	Sync.SyncScheduler	DEBUG	Next sync in 600000 ms. (why=schedule)
1729519075767	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519076095	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1729519076095	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1729519076105	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1729519076106	Sync.Engine.Tabs	INFO	Posting 1 records of 14295 bytes with batch=true
1729519076106	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519076106	Sync.Collection	DEBUG	POST Length: 14295
1729519076468	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1729519076477	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1729519086687	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519086687	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519086974	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1729519087942	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:fxa_status
1729519087942	FirefoxAccounts	DEBUG	fxa_status received
1729519087942	FirefoxAccounts	DEBUG	service: a2270f727f45f648
1729519087942	FirefoxAccounts	DEBUG	is private browsing: false
1729519087942	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_supplicant_metadata
1729519087942	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_supplicant_metadata received
1729519088207	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519088212	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519088950	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519088950	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519089950	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519089950	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519090781	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_authorize
1729519090781	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_authorize received
1729519090782	Services.Common.RESTRequest	DEBUG	POST request to https://api.accounts.firefox.com/v1/account/scoped-key-data
1729519090782	Services.Common.RESTRequest	DEBUG	POST Length: 136
1729519090955	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519090955	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519091134	Services.Common.RESTRequest	DEBUG	POST https://api.accounts.firefox.com/v1/account/scoped-key-data 200
1729519091134	Hawk	DEBUG	(Response) /account/scoped-key-data: code: 200 - Status text: 
1729519091134	Hawk	DEBUG	Clock offset vs https://api.accounts.firefox.com/v1: -134
1729519091136	Services.Common.RESTRequest	DEBUG	POST request to https://api.accounts.firefox.com/v1/oauth/authorization
1729519091136	Services.Common.RESTRequest	DEBUG	POST Length: 920
1729519091415	Services.Common.RESTRequest	DEBUG	POST https://api.accounts.firefox.com/v1/oauth/authorization 200
1729519091415	Hawk	DEBUG	(Response) /oauth/authorization: code: 200 - Status text: 
1729519091415	Hawk	DEBUG	Clock offset vs https://api.accounts.firefox.com/v1: -415
1729519091418	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519091496	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_complete
1729519091496	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_complete received
1729519091950	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519091950	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519091950	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519092031	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1729519092031	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1729519092034	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1729519092035	Sync.Engine.Tabs	INFO	Posting 1 records of 14935 bytes with batch=true
1729519092035	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519092035	Sync.Collection	DEBUG	POST Length: 14935
1729519092389	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1729519092390	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1729519092950	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519092950	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519092950	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519093116	FirefoxAccounts	TRACE	observed topic=push-message, data=chrome://fxa-device-update, subject=[xpconnect wrapped nsISupports]
1729519093116	FirefoxAccounts	TRACE	FxAccountsPushService _onPushMessage
1729519093116	FirefoxAccounts	DEBUG	push command: fxaccounts:device_connected
1729519093116	FirefoxAccounts	INFO	fetching updated device list
1729519093174	Services.Common.RESTRequest	DEBUG	GET request to https://api.accounts.firefox.com/v1/account/devices?filterIdleDevicesTimestamp=1727704693173
1729519093514	Services.Common.RESTRequest	DEBUG	GET https://api.accounts.firefox.com/v1/account/devices?filterIdleDevicesTimestamp=1727704693173 200
1729519093514	Hawk	DEBUG	(Response) /account/devices?filterIdleDevicesTimestamp=1727704693173: code: 200 - Status text: 
1729519093514	Hawk	DEBUG	Clock offset vs https://api.accounts.firefox.com/v1: -514
1729519093514	FirefoxAccounts	INFO	Got new device list: 03bbf0ee8ec72099d1ac2a33252f460c, 1bfe4fafe00a5e1e2d962ddd0c61c948, 3bd45fb87f1ad2a5c7a1989c6b8bf466, 73d0d68fd449a9762d385428fe20d832, cac5966abec7ba49b866966bd17f95be
1729519093515	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1729519093515	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1729519093515	FirefoxAccounts	TRACE	Our push subscription looks OK
1729519093515	FirefoxAccounts	INFO	updating the cache
1729519093950	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519093950	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519093950	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519094950	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519094950	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519094951	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519095957	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519095957	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519095957	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519097029	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519097029	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519097029	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519097861	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:firefox_view
1729519097867	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1729519097881	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519097885	Sync.RemoteTabs	INFO	_refetchTabs was done recently, do not doing it again
1729519097887	Sync.RemoteTabs	INFO	Generating tab list with filter
1729519097903	Sync.RemoteTabs	DEBUG	Processing client: {"id":"73d0d68fd449a9762d385428fe20d832","type":"client","name":"Firefox Nightly on realme RMX3521","clientType":"phone","lastModified":1728509718600,"tabs":[]}
1729519097903	Sync.RemoteTabs	DEBUG	Processing client: {"id":"HiKJvOcgNoSx","type":"client","name":"user’s Nightly on arch","clientType":"desktop","lastModified":1728501025530,"tabs":[]}
1729519097903	Sync.RemoteTabs	DEBUG	Processing client: {"id":"h-s0W5EjxUPP","type":"client","name":"user’s Firefox on arch","clientType":"desktop","lastModified":1728476714930,"tabs":[]}
1729519097903	Sync.RemoteTabs	INFO	Final tab list has 3 clients with 2 tabs.
1729519097932	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519097977	Sync.RemoteTabs	INFO	Generating tab list with filter
1729519097988	Sync.RemoteTabs	DEBUG	Processing client: {"id":"73d0d68fd449a9762d385428fe20d832","type":"client","name":"Firefox Nightly on realme RMX3521","clientType":"phone","lastModified":1728509718600,"tabs":[]}
1729519097988	Sync.RemoteTabs	DEBUG	Processing client: {"id":"HiKJvOcgNoSx","type":"client","name":"user’s Nightly on arch","clientType":"desktop","lastModified":1728501025530,"tabs":[]}
1729519097988	Sync.RemoteTabs	DEBUG	Processing client: {"id":"h-s0W5EjxUPP","type":"client","name":"user’s Firefox on arch","clientType":"desktop","lastModified":1728476714930,"tabs":[]}
1729519097988	Sync.RemoteTabs	INFO	Final tab list has 3 clients with 2 tabs.
1729519098047	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519098047	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519098047	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519099172	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519099172	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519099172	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519100178	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519100178	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519100178	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519101178	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519101179	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519101179	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519102179	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519102179	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519102179	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519102878	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1729519102878	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1729519102881	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1729519102883	Sync.Engine.Tabs	INFO	Posting 1 records of 14935 bytes with batch=true
1729519102883	FirefoxAccounts	DEBUG	FxAccountsProfileClient: Requested profile
1729519102883	FirefoxAccounts	DEBUG	getOAuthToken enter
1729519102883	FirefoxAccounts	TRACE	getCachedToken returning cached token
1729519102883	FirefoxAccounts	DEBUG	getOAuthToken returning a cached token
1729519102883	Services.Common.RESTRequest	DEBUG	GET request to https://profile.accounts.firefox.com/v1/profile
1729519102884	Sync.Collection	DEBUG	POST Length: 14935
1729519103126	Services.Common.RESTRequest	DEBUG	GET https://profile.accounts.firefox.com/v1/profile 304
1729519103179	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519103179	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519103179	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519103209	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1729519103219	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1729519104180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519104180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519104180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519105025	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1729519105180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519105180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519105180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519106180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519106180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519106180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519107180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519107180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519107180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519108180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519108180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519108180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519109180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519109180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519109180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519110142	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1729519110142	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1729519110145	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1729519110146	Sync.Engine.Tabs	INFO	Posting 1 records of 14935 bytes with batch=true
1729519110146	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519110146	Sync.Collection	DEBUG	POST Length: 14935
1729519110180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519110180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519110180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519110620	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1729519110627	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1729519111180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519111180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519111180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519112180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519112180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519112180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519113180	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519113180	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519113180	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519114181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519114181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519114181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519115181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519115181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519115181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519116181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519116181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519116181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519117181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519117181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519117181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519118181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519118181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519118181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519119181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519119181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519119181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519120181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519120181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519120181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519121181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519121181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519121181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519122181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519122181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519122181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519123181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519123181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519123181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519124181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519124181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519124181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519125181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519125181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519125181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519126181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519126181	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519126181	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519127181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519127182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519127182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519128181	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519128182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519128182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519129182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519129182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519129182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519130182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519130182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519130182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519131182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519131182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519131182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519132182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519132182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519132182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519133182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519133182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519133182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519134182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519134182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519134182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519135182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519135182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519135182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519136182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519136182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519136182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519137182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519137182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519137182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519138183	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519138183	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519138183	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519139182	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519139182	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519139182	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519140183	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519140183	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519140183	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519141183	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519141183	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
1729519141183	FirefoxAccounts	WARN	Could not find a pairing flow for iJqneFL9nrasXmNlfqTMZA
1729519142183	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_heartbeat
1729519142183	FirefoxAccounts	DEBUG	Pairing command fxaccounts:pair_heartbeat received
